,texto,fechas,candidato,nombre_lugar
8876,"Escuché a cosse y topolanski y hubiese sido mejor que no dijeran nada. La primera lo justificó xq había ganado(?) juicios 😱y la segunda le quitó trascendencia, así estaban de acostumbrados a malgastar el dinero de todos ",18,Cosse,"Montevideo, Uruguay"
9241,no le importa lo q hizo #Toma y la Contadora. Calro como no pagaba ella. Seguro que ahora los directores en su gestión van a poder contratar a quien quiera y van a ir a afirmando q iban al #Antelarena con los dineros de la IM y se los va a perdonar. ,18,Cosse,"Montevideo, Uruguay"
405,💪😔👍 ,19,Cosse,"Montevideo, Uruguay"
555,"El Antel Fest del 2014 fue revivir la atmósfera del viejo Pilsen Rock, el mejor festival musical que vio la ciudad. Gracias por invertir en recuerdos imborrables. En San José queremos la impronta del Frente Amplio con respecto a la cultura, la ciudad se lo merece. ",19,Cosse,"Montevideo, Uruguay"
870,candidato al mides ,19,Cosse,"Canelones, Uruguay"
1164,Hace décadas que no sube a un bondi esa garrapata zurda. ,19,Cosse,"Montevideo, Uruguay"
1575,👏👏👏 ,19,Cosse,"Montevideo, Uruguay"
1773,"Pero Mi Reina como que se terminó ahí, se va de “viaje “ lleva comitiva innecesaria, por decirlo de alguna forma. Y que encima la pagamos los URUGUAYOS, y tú dices se acabó AQUÍ 😂😂, hipocresía al igual que con ANTEL ARENA. ",19,Cosse,"Salto, Uruguay"
1796,Anoche acto de cierre de candidatura de en el municipio ch. Allí estuvimos con y su equipo 🔴🔵⚪🗳 ,19,Cosse,"Montevideo, Uruguay"
2908,Y si llega a ser Cosse ni imaginar por favor ,19,Cosse,"Canelones, Uruguay"
3420,Mañana nos vemos en #LegitimaDefensa junto a ☺️✌🏻 ,19,Cosse,"Montevideo, Uruguay"
3919,Cientos de miles de celulares y líneas para comprar votos en la Presidencia de Antel! Más de 90: U$ en publicidad con nuestro dinero! Se llama dumping y lo hizo la Descosse 🤦🏻‍♂️sabía que Claro y Movistar no pueden regalar tanto ,19,Cosse,"Montevideo, Uruguay"
4009,Hoy miro. Solo ppr@@CosseCarolina ,19,Cosse,"Montevideo, Uruguay"
5768,LAS DOS COSAS LEO. ,19,Cosse,"San José, Uruguay"
6164,VAMOS CAROLINA ARRIBA ,19,Cosse,"Canelones, Uruguay"
6271,"La diferencia a la vista es cambio y alternancia, Cosse continuismo y despilfarro. Montevideo necesita gestión, transparencia y firmeza y no gasto, patinadas y promesas que nunca pudieron cumplir. #SiPodemos Tu voto decide.....pensalo Lista 1 ",19,Cosse,"Montevideo, Uruguay"
6382,ARRIVA CAROLINA ,19,Cosse,"Canelones, Uruguay"
6575,"Divinos los dos, gran trabajo! El 27 se tendrá los frutos. Carolina Intendenta ♥️ ",19,Cosse,"Montevideo, Uruguay"
6592,Y se que lo vas a cumplir 💪🏼💪🏼 ,19,Cosse,"Montevideo, Uruguay"
6649,"Tengo claro que dentro de los 3 candidatos del FA el único que me convence es Álvaro Villar. Y sé que mucha gente del Frente comparte esa opinión. Deben pensar en que un voto para Villar o Martínez, es un voto para Cosse. Cuidado. ",19,Cosse,"Montevideo, Uruguay"
6780,"Sera que se les corto el internet? Llamemos a la cosse, asi lo soluciona y de paso se enteran que el peladito le gusta el futbol, y los viajes ",19,Cosse,"Canelones, Uruguay"
7373,"Así habla, un asesino. No hay un Montevideo olvidado? O sera que usted goza de un beneficio por ser expresidente? La guerra no la tiene con Raffo, la tiene con los malandras de Cosse y Martínez ",19,Cosse,"Montevideo, Uruguay"
7388,Votar a Daniel Martínez o es la misma MIERDA con diferente olor. ,19,Cosse,"Montevideo, Uruguay"
7412,Mañana caravana!!👏👏👏 ,19,Cosse,"Montevideo, Uruguay"
7920,Gracias ,19,Cosse,"Montevideo, Uruguay"
24,Cosse es el Partido Comunista y el pit cnt Villar es el Pepe Mujica con Amado de suplente Vos ves que votas!!!! ,20,Cosse,"Montevideo, Uruguay"
366,Arriba Ivonne CON TODO ,20,Cosse,"Canelones, Uruguay"
1047,"Sabía que eras cualquiera, pero que no sabías escribir ya te termina descalificando del todo. ",20,Cosse,"Montevideo, Uruguay"
1720,"Decís q tu voto es rojo, azul y blanco, x q ponés los circulitos al revés? 🔵🔴⚪ Estás entreverada 🤔😂 ",20,Cosse,"Canelones, Uruguay"
1881,"Los votantes de Montevideo, se van de Martínez a Cosse. Cambian de camarote antes que se hunda el Titanic, pero con lastre en el bolsillo! ",20,Cosse,"Canelones, Uruguay"
1898,Vamos Carolina 💪🏼💪🏼 ,20,Cosse,"Montevideo, Uruguay"
2019,Claro que si 👏🏼👏🏼 ,20,Cosse,"Montevideo, Uruguay"
2271,Escuche lo que dijo el delincuente este y de los zapatos. Después vi a Cosse de zapatos de tacos. Y pensé que era para ella. ,20,Cosse,"Montevideo, Uruguay"
2301,Por alguna razon no fenuncia a la banca y sgue cobrandi el sueldo . Etica ni ahi . Si Raffo fuera senadora e hiciera lo mismo 4 10 12 y el canal de la intenncia a cada rato si pide por lo menos lisencia ,20,Cosse,"Montevideo, Uruguay"
2322,Callate bo Foca Facha. Aguante Laura Cosse! ,20,Cosse,"Montevideo, Uruguay"
